epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,398.728,1.36048,3.46276,1.53272,0.69215,0.02013,0.01048,0.00606,2.36813,5.61187,2.43596,0.000472191,0.000472191,0.000472191
2,781.707,1.47846,3.22346,1.64494,0.36095,0.02688,0.00462,0.00125,2.78864,5.81573,2.73181,0.000929744,0.000929744,0.000929744
3,1156.83,1.62023,3.07543,1.74168,0.69005,0.02264,0.00939,0.00435,2.67399,6.3435,2.81183,0.00136843,0.00136843,0.00136843
4,1507.47,1.60939,2.93592,1.74928,0.68932,0.03396,0.00948,0.00299,2.66418,4.45265,2.55485,0.00134412,0.00134412,0.00134412
5,1858.08,1.62756,2.92434,1.75153,0.67985,0.01258,0.01151,0.00238,2.74761,5.71888,2.84394,0.00131582,0.00131582,0.00131582
6,2208.07,1.53692,2.81478,1.67454,0.70887,0.04277,0.01919,0.00749,2.59402,4.15891,2.44194,0.00128753,0.00128753,0.00128753
7,2557.43,1.43223,2.69693,1.63335,0.69475,0.03648,0.01569,0.00731,2.44213,4.13736,2.38588,0.00125923,0.00125923,0.00125923
8,2908.67,1.43971,2.71495,1.62941,0.70715,0.03019,0.01578,0.00684,2.57768,4.13889,2.46365,0.00123094,0.00123094,0.00123094
9,3257.53,1.35171,2.52661,1.56541,0.71997,0.03648,0.02121,0.00765,2.32754,4.17665,2.25172,0.00120265,0.00120265,0.00120265
10,3606.34,1.37036,2.57506,1.55556,0.71884,0.04151,0.0274,0.01277,2.17002,3.8488,2.12247,0.00117435,0.00117435,0.00117435
11,3958.21,1.36509,2.54098,1.5575,0.70865,0.0239,0.01426,0.00467,2.34802,4.09537,2.2991,0.00114606,0.00114606,0.00114606
12,4318.78,1.38987,2.54447,1.56756,0.71595,0.04528,0.02816,0.01362,2.18655,3.84568,2.07459,0.00111776,0.00111776,0.00111776
13,4670.87,1.3102,2.44679,1.53193,0.36946,0.05409,0.03089,0.01406,2.18965,3.6936,2.13073,0.00108947,0.00108947,0.00108947
14,5020.06,1.3007,2.45241,1.53271,0.04329,0.0327,0.01733,0.00943,2.22785,4.11575,2.18644,0.00106118,0.00106118,0.00106118
15,5368.51,1.27319,2.40648,1.49951,0.45473,0.04953,0.03472,0.01581,2.15508,3.73744,2.09191,0.00103288,0.00103288,0.00103288
16,5717.45,1.25408,2.40576,1.50333,0.39328,0.07893,0.03977,0.01878,2.10729,3.52054,2.07185,0.00100459,0.00100459,0.00100459
17,6067.11,1.23651,2.36083,1.49259,0.42776,0.05896,0.0451,0.02164,2.09765,3.52854,1.99676,0.000976293,0.000976293,0.000976293
18,6416.98,1.19292,2.25196,1.44719,0.17224,0.06891,0.0376,0.01727,2.23779,3.729,2.18167,0.000947999,0.000947999,0.000947999
19,6765.54,1.22116,2.30189,1.46284,0.12216,0.0707,0.03579,0.01427,2.12225,3.64149,2.0504,0.000919704,0.000919704,0.000919704
20,7114.95,1.19513,2.23713,1.42166,0.1113,0.09437,0.03299,0.0147,2.0088,3.55742,2.00337,0.00089141,0.00089141,0.00089141
21,7465.76,1.18857,2.26178,1.44899,0.07003,0.06492,0.04377,0.01986,2.06301,3.7146,1.98019,0.000863116,0.000863116,0.000863116
22,7817.3,1.13816,2.20067,1.40761,0.09316,0.08872,0.04367,0.02177,1.90316,3.7198,1.90106,0.000834822,0.000834822,0.000834822
23,8167.52,1.12652,2.15474,1.38786,0.10658,0.08023,0.03745,0.01917,1.98156,3.66699,1.98064,0.000806528,0.000806528,0.000806528
24,8519.24,1.16155,2.1482,1.4004,0.10324,0.09925,0.04892,0.02223,1.96036,3.33152,1.92112,0.000778233,0.000778233,0.000778233
25,8869.69,1.09755,2.11406,1.37856,0.13236,0.10222,0.05523,0.02485,1.92868,3.35194,1.94245,0.000749939,0.000749939,0.000749939
26,9220.36,1.08151,2.09846,1.38228,0.10366,0.09814,0.05166,0.0243,1.94165,3.43811,1.98496,0.000721645,0.000721645,0.000721645
27,9570.56,1.08095,2.06077,1.39364,0.11447,0.0997,0.05855,0.02806,1.91841,3.51201,1.93812,0.000693351,0.000693351,0.000693351
28,9922.78,1.07031,2.02801,1.35153,0.13332,0.11282,0.08473,0.04213,1.96756,3.29616,1.9068,0.000665057,0.000665057,0.000665057
29,10274.2,1.08967,2.04048,1.37806,0.11479,0.13464,0.06423,0.03098,1.90412,3.34891,1.86671,0.000636762,0.000636762,0.000636762
30,10630,1.05372,2.01375,1.37282,0.1587,0.13399,0.08421,0.04356,1.8824,3.20471,1.90802,0.000608468,0.000608468,0.000608468
31,10995.4,1.04642,1.99741,1.34685,0.12277,0.15118,0.06385,0.02695,1.96172,3.36273,1.88655,0.000580174,0.000580174,0.000580174
32,11347.7,1.04619,1.99605,1.3499,0.17297,0.19545,0.10358,0.05366,1.91366,3.23717,1.95272,0.00055188,0.00055188,0.00055188
33,11703.1,1.03552,1.95468,1.34068,0.18077,0.15039,0.09155,0.04195,1.87815,3.17713,1.84275,0.000523586,0.000523586,0.000523586
34,12054,1.02052,1.89295,1.32751,0.1765,0.16172,0.09189,0.04633,1.90672,3.22196,1.92761,0.000495291,0.000495291,0.000495291
35,12404.8,1.01903,1.909,1.32177,0.24462,0.22479,0.1238,0.05922,1.88662,3.10244,1.91297,0.000466997,0.000466997,0.000466997
36,12756.7,1.01469,1.91564,1.31101,0.15839,0.12169,0.08248,0.03661,1.9088,3.26459,1.8661,0.000438703,0.000438703,0.000438703
37,13106.3,1.02416,1.93678,1.33926,0.2343,0.14447,0.09918,0.0463,1.87086,3.18153,1.89616,0.000410409,0.000410409,0.000410409
38,13456.8,1.0048,1.8372,1.31809,0.20841,0.1405,0.08576,0.04455,1.8848,3.19703,1.86661,0.000382115,0.000382115,0.000382115
39,13807.9,1.00713,1.86916,1.31057,0.29163,0.144,0.11212,0.05587,1.84302,3.09986,1.83454,0.00035382,0.00035382,0.00035382
40,14158.5,0.93959,1.7656,1.28566,0.20698,0.19221,0.1305,0.07035,1.85066,3.10969,1.8468,0.000325526,0.000325526,0.000325526
41,14505.5,1.06838,1.90283,1.38312,0.14233,0.18351,0.08938,0.04779,1.84803,3.1834,1.86586,0.000297232,0.000297232,0.000297232
42,14852.2,1.06758,1.79018,1.38391,0.34788,0.14485,0.15321,0.07773,1.82991,3.14055,1.8518,0.000268938,0.000268938,0.000268938
43,15216.5,1.03127,1.77011,1.34485,0.22862,0.1934,0.13142,0.06279,1.78956,3.12656,1.788,0.000240644,0.000240644,0.000240644
44,15563.7,1.00576,1.76026,1.3492,0.24956,0.20311,0.1377,0.0748,1.77903,3.16794,1.82551,0.000212349,0.000212349,0.000212349
45,15909.6,1.00068,1.69099,1.34091,0.25995,0.18315,0.14104,0.07463,1.77669,3.12941,1.80129,0.000184055,0.000184055,0.000184055
46,16254,0.95988,1.65589,1.30309,0.23348,0.20033,0.1304,0.07178,1.78698,3.11062,1.82507,0.000155761,0.000155761,0.000155761
47,16598.7,0.95216,1.65308,1.31888,0.23193,0.25,0.15718,0.08448,1.82216,3.11196,1.8419,0.000127467,0.000127467,0.000127467
48,16942.9,0.93918,1.62119,1.30236,0.20811,0.22756,0.14089,0.07624,1.82801,3.13455,1.84098,9.91726e-05,9.91726e-05,9.91726e-05
49,17288.7,0.94007,1.6202,1.29028,0.23535,0.23558,0.15105,0.08681,1.82742,3.10595,1.82762,7.08784e-05,7.08784e-05,7.08784e-05
50,17633.1,0.94592,1.58947,1.30142,0.23122,0.26216,0.1589,0.08999,1.81028,3.0863,1.81527,4.25842e-05,4.25842e-05,4.25842e-05
